page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,quote_check,quote_check_worst
12,Courts must not act as advocates when imposing sanctions,"Deepwater Horizon v. Lake Eugenie Land & Dev., Inc., 857 F.3d 246, 250 (5th Cir. 2017)","Freeh v. Lake Eugenie Land & Development, Inc.",Opinion (857 F.3d 246) does not address sanctions at all. Case concerns clawback of BP settlement funds.,Red,https://www.courtlistener.com/opinion/8443291/freeh-v-lake-eugenie-land-development-inc/,VERIFIED,,opinions/Freeh_v_Lake_Eugenie_Land_Development_Inc.html,[],NO_QUOTES
13,The procedural safeguards required under section 1927 and the court's inherent powers were violated,"Edwards v. Gen. Motors Corp., 153 F.3d 242, 246 (5th Cir. 1998)",Edwards v. General Motors Corp.,"Court affirmed 1927 sanctions. Reversed only Rule 11 sanctions based on inapplicability to pre-removal state filings, not procedural deficiencies.",Red,https://www.courtlistener.com/opinion/15646/edwards-v-general-motors-corp/,VERIFIED,,opinions/Edwards_v_General_Motors_Corp.html,[],NO_QUOTES
13,Government-issued fraud documentation triggers evidentiary presumption,"United States v. Miller, 953 F.3d 1095, 1101 (9th Cir. 2020)",United States v. James Miller,United States v. Miller is a wire fraud/embezzlement case. No discussion of 'government-issued fraud documentation' or 'evidentiary presumption.' Word 'presumption' does not appear.,Red,https://www.courtlistener.com/opinion/4737927/united-states-v-james-miller/,VERIFIED,,opinions/United_States_v_James_Miller.html,[],NO_QUOTES
13,Frivolousness must be assessed at the time of filing not in hindsight,"Fox v. Vice, 563 U.S. 826, 834-36 (2011)",Fox v. Vice,"Fox does NOT address timing of frivolousness assessment. Opinion concerns fee allocation under 1988 but-for test. The brief's alleged quote 'The question is whether the case was frivolous when filed, not whether it later proved to be so' does NOT appear anywhere in the opinion.",Red,https://www.courtlistener.com/opinion/218177/fox-v-vice/,VERIFIED,,opinions/Fox_v_Vice.html,[],NO_QUOTES
13,Rule 11 sanctions are to be imposed only for arguments that are frivolous when made not for those that later prove unsuccessful,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384, 393 (1990)",Cooter & Gell v. Hartmarx Corp.,"Brief quotes at 393: 'Rule 11 sanctions are to be imposed only for arguments that are frivolous when made, not for those that later prove unsuccessful.' This exact quote does NOT appear. Page 393 discusses Rule 11 history.",Red,https://www.courtlistener.com/opinion/112457/cooter-gell-v-hartmarx-corp/,VERIFIED,,opinions/Cooter_Gell_v_Hartmarx_Corp.html,[],NO_QUOTES
14,Retroactive justification of sanctions is barred; contemporaneous scrutiny is required,"Fox v. Vice, 563 U.S. 826 (2011)",Fox v. Vice,Fox does NOT address retroactive justification or contemporaneous scrutiny. Opinion solely about allocating fees under 1988 when plaintiff asserts both frivolous and non-frivolous claims.,Red,https://www.courtlistener.com/opinion/218177/fox-v-vice/,VERIFIED,,opinions/Fox_v_Vice.html,[],NO_QUOTES
14,Retroactive justification of sanctions is barred; contemporaneous scrutiny is required,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384 (1990)",Cooter & Gell v. Hartmarx Corp.,"Does not use 'retroactive justification' or 'contemporaneous scrutiny.' Temporal-anchoring at *404 implies inquiry at filing time, but proposition is extrapolation, not direct holding.",Yellow,https://www.courtlistener.com/opinion/112457/cooter-gell-v-hartmarx-corp/,VERIFIED,,opinions/Cooter_Gell_v_Hartmarx_Corp.html,[],NO_QUOTES
14,Frivolousness must be judged at filing not reconstructed after the fact,"Fox v. Vice, 563 U.S. 826 (2011)",Fox v. Vice,Fox does NOT address timing of frivolousness. Court assumes claims already found frivolous and addresses only allocation. Proposition unsupported.,Red,https://www.courtlistener.com/opinion/218177/fox-v-vice/,VERIFIED,,opinions/Fox_v_Vice.html,[],NO_QUOTES
14,Frivolousness must be judged at filing not reconstructed after the fact,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384 (1990)",Cooter & Gell v. Hartmarx Corp.,"Supports temporal anchoring at *404 but language appears in context of appellate review standard, not standalone holding.",Yellow,https://www.courtlistener.com/opinion/112457/cooter-gell-v-hartmarx-corp/,VERIFIED,,opinions/Cooter_Gell_v_Hartmarx_Corp.html,[],NO_QUOTES
15,Sanctions imposed without formal notice briefing or evidentiary hearing constitute structural error,"Puckett v. United States, 556 U.S. 129, 135 (2009)",Puckett v. United States,Puckett is about forfeited plea-agreement breach under Rule 52(b) plain-error review. Does not discuss sanctions at all.,Red,https://www.courtlistener.com/opinion/145896/puckett-v-united-states/,VERIFIED,,opinions/Puckett_v_United_States.html,[],NO_QUOTES
16,Structural errors affect the framework within which the trial proceeds and are not subject to harmless error review,"Puckett v. United States, 556 U.S. 129, 135 (2009)",Puckett v. United States,"Phrase 'affect the framework within which the trial proceeds' does appear (quoting Fulminante). But at p.141 not p.135, and Court holds plea breach is NOT structural error -- brief inverts the holding.",Yellow,https://www.courtlistener.com/opinion/145896/puckett-v-united-states/,VERIFIED,,opinions/Puckett_v_United_States.html,[],NO_QUOTES
16,Due process requires notice and an opportunity to be heard before sanctions are imposed,"Deepwater Horizon v. Lake Eugenie Land & Dev., Inc., 857 F.3d 246, 250 (5th Cir. 2017)","Freeh v. Lake Eugenie Land & Development, Inc.","The quoted language 'Due process requires notice and an opportunity to be heard before sanctions are imposed' does NOT appear. Case is about Deepwater Horizon settlement clawback, not sanctions.",Red,https://www.courtlistener.com/opinion/8443291/freeh-v-lake-eugenie-land-development-inc/,VERIFIED,,opinions/Freeh_v_Lake_Eugenie_Land_Development_Inc.html,[],NO_QUOTES
17,Sanctions imposed without formal notice briefing or evidentiary hearing are reviewed de novo because they implicate core constitutional safeguards,"Edwards v. Gen. Motors Corp., 153 F.3d 242, 246 (5th Cir. 1998)",Edwards v. General Motors Corp.,Sanctions imposed after hearing on GM's motion. Court applied abuse of discretion: 'We review the ruling only for abuse of discretion.' No de novo review for procedural deficiencies discussed.,Red,https://www.courtlistener.com/opinion/15646/edwards-v-general-motors-corp/,VERIFIED,,opinions/Edwards_v_General_Motors_Corp.html,[],NO_QUOTES
18,Courts must segregate fees incurred defending frivolous claims from those incurred defending non-frivolous ones,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,"Opinion does NOT discuss segregating fees between frivolous and non-frivolous claims. Only one claim in Vaughan, found not frivolous. Remand instruction concerns fees from specific deposition misconduct, not segregation across claims of varying merit.",Red,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],NO_QUOTES
18,Fee recovery is limited to fees that would not have been incurred but for the frivolous claim,"Fox v. Vice, 563 U.S. 826, 836 (2011)",Fox v. Vice,Core holding of Fox. At 836: 'Section 1988 permits the defendant to receive only the portion of his fees that he would not have paid but for the frivolous claim.',Green,https://www.courtlistener.com/opinion/218177/fox-v-vice/,VERIFIED,,opinions/Fox_v_Vice.html,[],NO_QUOTES
19,Experian's silence distorted the compensable frame and undermined the adversarial process,"Fox v. Vice, 563 U.S. 826, 836 (2011)",Fox v. Vice,"Fox contains nothing about party silence, distortion of compensable frames, or adversarial process. Opinion is about fee allocation methodology.",Red,https://www.courtlistener.com/opinion/218177/fox-v-vice/,VERIFIED,,opinions/Fox_v_Vice.html,[],NO_QUOTES
19,Experian's silence distorted the compensable frame and undermined the adversarial process,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,Opinion contains no discussion of 'silence distorting the compensable frame' or 'undermining the adversarial process.' Case is about VRA lawsuit frivolity and deposition misconduct. Nothing supports this proposition.,Red,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],NO_QUOTES
19,Defendants may receive only the portion of their fees that they would not have incurred but for the frivolous claim,"Fox v. Vice, 563 U.S. 826, 836 (2011)",Fox v. Vice,"Accurately states the holding. At 836: 'Section 1988 permits the defendant to receive only the portion of his fees that he would not have paid but for the frivolous claim.' Brief's quote is close paraphrase, substance accurate.",Green,https://www.courtlistener.com/opinion/218177/fox-v-vice/,VERIFIED,,opinions/Fox_v_Vice.html,[],NO_QUOTES
19,The district court must segregate fees incurred defending frivolous claims from those incurred defending non-frivolous ones,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,Same as Row 26. Opinion does not hold courts 'must segregate fees incurred defending frivolous claims from those incurred defending non-frivolous ones.' Single non-frivolous claim; remand concerns deposition misconduct fees only.,Red,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],NO_QUOTES
19,The court awarded a flat percentage based on billing records violating the compensatory purpose of section 1927,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,"Opinion requires fees causally linked to sanctionable conduct: 'link the sanctionable conduct to the size of the sanctions.' Consistent with compensatory purpose, but does not discuss 'flat percentage based on billing records.'",Yellow,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],NO_QUOTES
20,Percentage-based fee allocations divorced from causation are rejected,"Hensley v. Eckerhart, 461 U.S. 424, 434-35 (1983)",Hensley v. Eckerhart,At pp.434-435: 'work on an unsuccessful claim cannot be deemed to have been expended in pursuit of the ultimate result achieved.' Exact quote from opinion.,Green,https://www.courtlistener.com/opinion/110929/hensley-v-eckerhart/,VERIFIED,,opinions/Hensley_v_Eckerhart.html,[],NO_QUOTES
20,The fee award bundles unrelated litigation tasks and lacks line-item causation findings violating Fifth Circuit mandate,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,"Opinion requires findings that '(1) identify sanctionable conduct, (2) link the sanctionable conduct to the size of the sanctions, (3) differentiate between sanctions under different statutes' (citing Procter & Gamble). Supports causation findings, but never uses 'line-item causation findings.'",Yellow,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],NO_QUOTES
20,The fee award bundles unrelated litigation tasks and lacks line-item causation findings violating Supreme Court directive,"Fox v. Vice, 563 U.S. 826, 836 (2011)",Fox v. Vice,Fox at 836 establishes but-for test requiring causal link. But does not use 'line-item causation findings' and Court says trial courts may 'use estimates in calculating and allocating an attorney's time' (at 838).,Yellow,https://www.courtlistener.com/opinion/218177/fox-v-vice/,VERIFIED,,opinions/Fox_v_Vice.html,[],NO_QUOTES
21,The court must determine which fees were incurred because of the frivolous claim,"Fox v. Vice, 563 U.S. 826, 836 (2011)",Fox v. Vice,At 839: 'the trial court must determine whether the fees requested would not have accrued but for the frivolous claim.' Proposition accurately captures this.,Green,https://www.courtlistener.com/opinion/218177/fox-v-vice/,VERIFIED,,opinions/Fox_v_Vice.html,[],NO_QUOTES
21,The Fifth Circuit requires line-item segregation of fees caused by sanctionable conduct,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,"Opinion requires 1927 sanctions linked to specific conduct and identification of fees incurred 'because of' misconduct. Supports causation requirement, but never uses 'line-item segregation.'",Yellow,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],NO_QUOTES
21,Bulk allocation of 60% of total fees without isolating causation violates fee segregation requirements,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,"Opinion's requirement that sanctions be linked to specific conduct is inconsistent with bulk allocation. Underlying principle supported, but opinion does not address '60% bulk allocation.'",Yellow,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],NO_QUOTES
21,The absence of line-item segregation renders the award non-compensatory,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199, 207 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,"Opinion requires causal connection to sanctionable conduct. Consistent with compensatory nature, but does not use 'non-compensatory' or state absence of line-item segregation per se renders award invalid.",Yellow,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],NO_QUOTES
22,Sanctions must not be used as mere fee-shifting devices,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384, 397 (1990)",Cooter & Gell v. Hartmarx Corp.,Opinion states Rule 11 is not fee-shifting (*409). But pinpoint at 397 is wrong -- page 397 discusses Rule 41(a)(1). Fee-shifting language at *409.,Yellow,https://www.courtlistener.com/opinion/112457/cooter-gell-v-hartmarx-corp/,VERIFIED,,opinions/Cooter_Gell_v_Hartmarx_Corp.html,[],NO_QUOTES
23,Sanctions under Rule 11 are collateral to the merits and may be imposed after dismissal,"Bryant v. Military Dep't of Miss., 597 F.3d 678, 682 (5th Cir. 2010)",Bryant v. Military Department of Mississippi,Bryant addresses Rule 11/1927 on cross-appeal. But quoted proposition 'Sanctions under Rule 11 are collateral to the merits and may be imposed after dismissal' does not appear. Pinpoint at 682 refers to district court citation.,Yellow,https://www.courtlistener.com/opinion/70894/bryant-v-military-department-of-mississippi/,VERIFIED,,opinions/Bryant_v_Military_Department_of_Mississippi.html,[],NO_QUOTES
23,Fee awards must be causally tied to specific misconduct not merely proximity or shared docket,"In re Case, 937 F.2d 1014, 1023 (5th Cir. 1991)",Citizens Bank & Trust Co. v. Case (In re Case),In re Case requires tying sanctions to specific conduct. But quoted language 'The court must carefully tie the award to the sanctionable conduct' does not appear verbatim.,Yellow,https://www.courtlistener.com/opinion/8999089/citizens-bank-trust-co-v-case-in-re-case/,VERIFIED,,opinions/Citizens_Bank_Trust_Co_v_Case_In_re_Case.html,[],NO_QUOTES
23,An appeal is frivolous only if the result is obvious or the arguments of error are wholly without merit,"Coghlan v. Starkey, 852 F.2d 806, 811 (5th Cir. 1988)",Coghlan v. Starkey,At p.811: 'An appeal is frivolous if the result is obvious or the arguments of error are wholly without merit.' Core language directly from opinion. Pinpoint correct.,Green,https://www.courtlistener.com/opinion/8971182/coghlan-v-starkey/,VERIFIED,,opinions/Coghlan_v_Starkey.html,[],NO_QUOTES
23,Section 1927 sanctions require evidence of bad faith improper motive or reckless disregard of duty,"Bryant v. Military Dep't of Miss., 597 F.3d 678, 694 (5th Cir. 2010)",Bryant v. Military Department of Mississippi,"At p.694: 1927 sanctions require 'evidence of bad faith, improper motive, or reckless disregard of duty owed to the court.' Pinpoint correct, proposition accurate.",Green,https://www.courtlistener.com/opinion/70894/bryant-v-military-department-of-mississippi/,VERIFIED,,opinions/Bryant_v_Military_Department_of_Mississippi.html,[],NO_QUOTES
23,Courts require a clear showing of bad faith for section 1927 sanctions not speculation or narrative,"Lewis v. Brown & Root, Inc., 711 F.2d 1287, 1292 (5th Cir. 1983)","Dennis J. LEWIS, Plaintiff-Appellant, v. BROWN & ROOT, INC., Defendant-Appellee","Lewis at 1292 affirms 1927 award. But proposition about 'clear showing of bad faith' is not the standard -- case applies vexatious multiplication, not bad faith.",Yellow,https://www.courtlistener.com/opinion/421668/dennis-j-lewis-plaintiff-appellant-v-brown-root-inc/,VERIFIED,,opinions/Dennis_J_LEWIS_Plaintiff-Appellant_v_BROWN_ROOT_INC_Defendant-Appellee.html,[],NO_QUOTES
24,Section 1927 requires more than weak claims or procedural missteps; it demands a sustained course of vexatious litigation,"Matta v. May, 118 F.3d 410, 413 (5th Cir. 1997)",Matta v. May,Matta reverses sanctions. Suit well-grounded in fact and law. Brief's characterization that Matta reversed where attorney filed one complaint without prolonging litigation is accurate.,Green,https://www.courtlistener.com/opinion/12454/matta-v-may/,VERIFIED,,opinions/Matta_v_May.html,[],NO_QUOTES
26,Sanctions must not punish counsel for pursuing plausible claims,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384, 393 (1990)",Cooter & Gell v. Hartmarx Corp.,Opinion notes Rule 11 'must be read in light of concerns that it will chill vigorous advocacy' (*393-394). Concept implicit but not stated as 'must not punish counsel for pursuing plausible claims.',Yellow,https://www.courtlistener.com/opinion/112457/cooter-gell-v-hartmarx-corp/,VERIFIED,,opinions/Cooter_Gell_v_Hartmarx_Corp.html,[],NO_QUOTES
27,Sanctions order violates Rule 11(c)(2) and rests on post hoc justification barred by controlling precedent,"Fox v. Vice, 563 U.S. 826 (2011)",Fox v. Vice,"Fox does not address Rule 11(c)(2) at all. Opinion concerns 1988 fee-shifting, not Rule 11 sanctions. Rule 11 never mentioned.",Red,https://www.courtlistener.com/opinion/218177/fox-v-vice/,VERIFIED,,opinions/Fox_v_Vice.html,[],NO_QUOTES
27,Sanctions order violates Rule 11(c)(2) and rests on post hoc justification barred by controlling precedent,"Cooter & Gell v. Hartmarx Corp., 496 U.S. 384 (1990)",Cooter & Gell v. Hartmarx Corp.,Same as Row 3. Cooter & Gell predates Rule 11(c)(2). Temporal-anchoring provides indirect support.,Yellow,https://www.courtlistener.com/opinion/112457/cooter-gell-v-hartmarx-corp/,VERIFIED,,opinions/Cooter_Gell_v_Hartmarx_Corp.html,[],NO_QUOTES
27,Sanctions order awards fees without causation segregation required by Fifth Circuit,"Vaughan v. Lewisville Indep. Sch. Dist., 62 F.4th 199 (5th Cir. 2023)",Vaughan v. Lewisville Indep Sch Dist,"Same as Row 4. Vaughan requires 1927 sanctions tied to specific conduct, but 'causation segregation' is the brief's characterization, not the opinion's language.",Yellow,https://www.courtlistener.com/opinion/9382860/vaughan-v-lewisville-indep-sch-dist/,VERIFIED,,opinions/Vaughan_v_Lewisville_Indep_Sch_Dist.html,[],NO_QUOTES
27,Coghlan limits Rule 38 to objectively frivolous appeals,"Coghlan v. Starkey, 852 F.2d 806 (5th Cir. 1988)",Coghlan v. Starkey,Coghlan discusses Rule 38 but does not state a holding 'limiting' Rule 38 to objectively frivolous appeals as a doctrinal rule.,Yellow,https://www.courtlistener.com/opinion/8971182/coghlan-v-starkey/,VERIFIED,,opinions/Coghlan_v_Starkey.html,[],NO_QUOTES
27,Sanctions must be grounded in objective evidence and articulated findings not frustration silence or narrative,"Childs v. State Farm Mut. Auto. Ins. Co., 29 F.3d 1018, 1023 (5th Cir. 1994)","Boyce W. Childs v. State Farm Mutual Automobile Insurance Company v. Bruce C. Waltzer, Movant-Appellant",Childs at p.1023 applies objective standard of reasonableness. Found evidence 'clear and overwhelming.' Proposition about 'objective evidence and articulated findings' supported.,Green,https://www.courtlistener.com/opinion/674614/boyce-w-childs-v-state-farm-mutual-automobile-insurance-company-v-bruce/,VERIFIED,,opinions/Boyce_W_Childs_v_State_Farm_Mutual_Automobile_Insurance_Company_v_Bruce_C_Waltzer_Movant-Appellant.html,[],NO_QUOTES
28,Rule 11 discretion must be exercised within procedural bounds and anchored to articulated findings,"Mendez v. County of San Bernardino, 540 F.3d 1109, 1131 (9th Cir. 2008)",Mendez v. County of San Bernardino,"Mendez at pp.1131-1132: 'Before awarding sanctions under inherent powers, court must make explicit finding that counsel's conduct constituted or was tantamount to bad faith.' Brief's quoted language closely tracks holding.",Green,https://www.courtlistener.com/opinion/1269651/mendez-v-county-of-san-bernardino/,VERIFIED,,opinions/Mendez_v_County_of_San_Bernardino.html,[],NO_QUOTES
28,The district court must carefully articulate the evidence and reasoning supporting its decision to impose sanctions,"Thomas v. Capital Sec. Servs., 836 F.2d 866, 873-74 (5th Cir. 1988)","Patricia Thomas v. Capital Security Services, Inc.",Thomas at pp.873-874 establishes objective reasonableness standard with need for articulated findings. Brief's quoted language closely tracks opinion's emphasis.,Green,https://www.courtlistener.com/opinion/499756/patricia-thomas-v-capital-security-services-inc/,VERIFIED,,opinions/Patricia_Thomas_v_Capital_Security_Services_Inc.html,[],NO_QUOTES
28,Discretion is not unbounded; it must be exercised within the framework of the applicable rules and precedents,"Donaldson v. Clark, 819 F.2d 1551, 1556 (11th Cir. 1987)",Jurldine A. Donaldson v. Paul v. Clark,Donaldson at p.1556 discusses Rule 11 standards. But quoted language 'Discretion is not unbounded. It must be exercised within the framework of the applicable rules and precedents' does not appear verbatim.,Yellow,https://www.courtlistener.com/opinion/489317/jurldine-a-donaldson-v-paul-v-clark/,VERIFIED,,opinions/Jurldine_A_Donaldson_v_Paul_v_Clark.html,[],NO_QUOTES
28,Fee awards must be causally tied to specific sanctionable conduct,"In re Case, 937 F.2d 1014, 1023 (5th Cir. 1991)",Citizens Bank & Trust Co. v. Case (In re Case),Same as Row 42. General principle supported but exact quoted language not found.,Yellow,https://www.courtlistener.com/opinion/8999089/citizens-bank-trust-co-v-case-in-re-case/,VERIFIED,,opinions/Citizens_Bank_Trust_Co_v_Case_In_re_Case.html,[],NO_QUOTES
28,Courts require clear showing of bad faith for section 1927 sanctions,"Lewis v. Brown & Root, Inc., 711 F.2d 1287, 1292 (5th Cir. 1983)","Dennis J. LEWIS, Plaintiff-Appellant, v. BROWN & ROOT, INC., Defendant-Appellee","Same as Row 45. Lewis applies vexatious-multiplication standard, not 'clear showing of bad faith.'",Yellow,https://www.courtlistener.com/opinion/421668/dennis-j-lewis-plaintiff-appellant-v-brown-root-inc/,VERIFIED,,opinions/Dennis_J_LEWIS_Plaintiff-Appellant_v_BROWN_ROOT_INC_Defendant-Appellee.html,[],NO_QUOTES
