citation,status,confidence,cluster_id,url,matched_name,diagnostics
"Cause of Action Inst. v. U.S. Dep't of Just., 330 F. Supp. 3d 336 (D.D.C. 2018)",POSSIBLE_MATCH,0.6901,4534873,https://www.courtlistener.com/opinion/4534873/cause-of-action-institute-v-us-department-of-justice/,Cause of Action Institute v. U.S. Department of Justice,"Name mismatch: cited ""Cause of Action Inst. v. U.S. Department of Just."" vs found ""Cause of Action Institute v. U.S. Department of Justice""; Reporter citation 330 F. Supp. 3d 336 could not be confirmed (CourtListener has no reporter citations on file for this case), but we identified a possible match."
"Chennareddy v. Bowsher, 935 F.2d 315 (D.C. Cir. 1991)",VERIFIED,1.0,7912656,https://www.courtlistener.com/opinion/7912656/chennareddy-v-bowsher/,Chennareddy v. Bowsher,
"Common Cause v. Trump, 506 F. Supp. 3d 39 (D.D.C. 2020)",POSSIBLE_MATCH,0.5746,4762879,https://www.courtlistener.com/opinion/4762879/gomez-v-trump/,Gomez v. Trump,"Name mismatch: cited ""Common Cause v. Trump"" vs found ""Gomez v. Trump""; Reporter citation 506 F. Supp. 3d 39 could not be confirmed (CourtListener has no reporter citations on file for this case), but we identified a possible match."
"Contractors Ass'n of E. Pa. v. Sec'y of Lab., 442 F.2d 159 (3d Cir. 1971)",VERIFIED,1.0,8898660,https://www.courtlistener.com/opinion/8898660/contractors-assn-of-eastern-pennsylvania-v-secretary-of-labor/,Contractors Ass'n of Eastern Pennsylvania v. Secretary of Labor,
"DCH Reg'l Med. Ctr. v. Azar, 925 F.3d 503 (D.C. Cir. 2019)",VERIFIED,1.0,4625828,https://www.courtlistener.com/opinion/4625828/dch-regional-medical-center-v-alex-m-azar-ii/,DCH Regional Medical Center v. Alex M. Azar II,
"Dep't of Navy v. Egan, 484 U.S. 518 (1988)",VERIFIED,1.0,111990,https://www.courtlistener.com/opinion/111990/department-of-the-navy-v-egan/,Department of the Navy v. Egan,
"El-Ganayni v. U.S. Dep't of Energy, 591 F.3d 176 (3d Cir. 2010)",VERIFIED,1.0,1464441,https://www.courtlistener.com/opinion/1464441/el-ganayni-v-united-states-department-of-energy/,El-Ganayni v. United States Department of Energy,
"Foote v. Moniz, 751 F.3d 656 (D.C. Cir. 2014)",LIKELY_REAL,0.875,2674020,https://www.courtlistener.com/opinion/2674020/ronnie-foote-v-ernest-moniz/,Ronnie Foote v. Ernest Moniz,We identified a likely match.
"Free Enter. Fund v. Pub. Co. Acct. Oversight Bd., 561 U.S. 477 (2010)",VERIFIED,1.0,9054281,https://www.courtlistener.com/opinion/9054281/free-enterprise-fund-v-public-co-accounting-oversight-board/,Free Enterprise Fund v. Public Co. Accounting Oversight Board,
"Garcetti v. Ceballos, 547 U.S. 410 (2006)",VERIFIED,1.0,145653,https://www.courtlistener.com/opinion/145653/garcetti-v-ceballos/,Garcetti v. Ceballos,
"Hill v. White, 321 F.3d 1334 (11th Cir. 2003)",VERIFIED,1.0,781146,https://www.courtlistener.com/opinion/781146/lonnie-j-hill-v-thomas-e-white-secretary-of-the-army/,"Lonnie J. Hill v. Thomas E. White, Secretary of the Army",
"Hishon v. King & Spalding, 467 U.S. 69 (1984)",LIKELY_REAL,0.95,111188,https://www.courtlistener.com/opinion/111188/hishon-v-king-spalding/,Hishon v. King & Spalding,We identified a likely match.
"Holder v. Humanitarian L. Project, 561 U.S. 1 (2010)",VERIFIED,1.0,6797285,https://www.courtlistener.com/opinion/6797285/holder-v-humanitarian-law-project/,Holder v. Humanitarian Law Project,
"Hous. Cmty. Coll. Sys. v. Wilson, 595 U.S. 468 (2022)",VERIFIED,1.0,6454239,https://www.courtlistener.com/opinion/6454239/houston-community-college-system-v-wilson/,Houston Community College System v. Wilson,
"Johanns v. Livestock Mktg. Ass'n, 544 U.S. 550 (2005)",VERIFIED,1.0,142895,https://www.courtlistener.com/opinion/142895/johanns-v-livestock-marketing-assn/,Johanns v. Livestock Marketing Assn.,
"Keller v. State Bar of Cal., 496 U.S. 1 (1990)",VERIFIED,1.0,112443,https://www.courtlistener.com/opinion/112443/keller-v-state-bar-of-california/,Keller v. State Bar of California,
"Lee v. Garland, 120 F.4th 880 (D.C. Cir. 2024)",POSSIBLE_MATCH,0.825,10162300,https://www.courtlistener.com/opinion/10162300/an-opinion-was-released-in-case-20-5221-jason-lee-v-merrick-garland/,"An opinion was released in case 20-5221, Jason Lee v. Merrick Garland","Reporter citation 120 F.4th 880 could not be confirmed (CourtListener has no reporter citations on file for this case), but we identified a possible match."
"Matal v. Tam, 582 U.S. 218 (2017)",VERIFIED,1.0,4403807,https://www.courtlistener.com/opinion/4403807/matal-v-tam/,Matal v. Tam,
"Minn. State Bd. for Cmty. Colls. v. Knight, 465 U.S. 271 (1984)",VERIFIED,1.0,111100,https://www.courtlistener.com/opinion/111100/minnesota-state-board-for-community-colleges-v-knight/,Minnesota State Board for Community Colleges v. Knight,
"Moody v. NetChoice, LLC, 603 U.S. 707 (2024)",VERIFIED,1.0,10600039,https://www.courtlistener.com/opinion/10600039/moody-v-netchoice-llc/,"Moody v. NetChoice, LLC",
"Myers v. United States, 272 U.S. 52 (1926)",VERIFIED,1.0,100926,https://www.courtlistener.com/opinion/100926/myers-v-united-states/,Myers v. United States,
"Nat'l Endowment of the Arts v. Finley, 524 U.S. 569 (1998)",VERIFIED,1.0,118240,https://www.courtlistener.com/opinion/118240/national-endowment-for-the-arts-v-finley/,National Endowment for the Arts v. Finley,
"Nat'l Fed'n of Fed. Emps. v. Greenberg, 983 F.2d 286 (D.C. Cir. 1993)",VERIFIED,1.0,597782,https://www.courtlistener.com/opinion/597782/national-federation-of-federal-employees-v-paul-greenberg-major-general/,"National Federation of Federal Employees v. Paul Greenberg, Major General, Commander, Headquarters, Army, Armament, Munitions & Chemical Command",
"Nat'l Rifle Ass'n of Am. v. Vullo, 602 U.S. 175 (2024)",POSSIBLE_MATCH,0.7802,9508919,https://www.courtlistener.com/opinion/9508919/national-rifle-association-of-america-v-vullo/,National Rifle Association of America v. Vullo,"Name differs: cited ""National Rifle Association of Am. v. Vullo"" ~ found ""National Rifle Association of America v. Vullo"" (66% similar), but we identified a possible match."
"Norwood v. Harrison, 413 U.S. 455 (1973)",VERIFIED,1.0,108851,https://www.courtlistener.com/opinion/108851/norwood-v-harrison/,Norwood v. Harrison,
"N.Y. State Ophthalmological Soc'y v. Bowen, 854 F.2d 1379 (D.C. Cir. 1988)",VERIFIED,1.0,510614,https://www.courtlistener.com/opinion/510614/new-york-state-ophthalmological-society-v-otis-r-bowen-secretary-health/,"New York State Ophthalmological Society v. Otis R. Bowen, Secretary, Health and Human Services",
"O'Bannon v. Town Ct. Nursing Ctr., 447 U.S. 773 (1980)",VERIFIED,1.0,110319,https://www.courtlistener.com/opinion/110319/obannon-v-town-court-nursing-center/,O'Bannon v. Town Court Nursing Center,
"O'Donnel v. Barry, 148 F.3d 1126 (D.C. Cir. 1998)",VERIFIED,1.0,184593,https://www.courtlistener.com/opinion/184593/odonnell-philip-v-barry-marion-s/,"O'Donnell, Philip v. Barry, Marion S.",
"Ohio Forestry Ass'n v. Sierra Club, 523 U.S. 726 (1998)",POSSIBLE_MATCH,0.7531,118210,https://www.courtlistener.com/opinion/118210/ohio-forestry-assn-inc-v-sierra-club/,"Ohio Forestry Assn., Inc. v. Sierra Club","Name differs: cited ""Ohio Forestry Association v. Sierra Club"" ~ found ""Ohio Forestry Assn., Inc. v. Sierra Club"" (61% similar), but we identified a possible match."
"Oryszak v. Sullivan, 576 F.3d 522 (D.C. Cir. 2009)",LIKELY_REAL,0.95,187446,https://www.courtlistener.com/opinion/187446/oryszak-v-sullivan/,Oryszak v. Sullivan,We identified a likely match.
"Palmieri v. United States, 896 F.3d 579 (D.C. Cir. 2018)",VERIFIED,1.0,4519717,https://www.courtlistener.com/opinion/4519717/matthew-palmieri-v-united-states/,Matthew Palmieri v. United States,
"Perez v. FBI, 71 F.3d 513 (5th Cir. 1995)",POSSIBLE_MATCH,0.553,8282,https://www.courtlistener.com/opinion/8282/perez-v-federal-bureau-of-investigation/,Perez v. Federal Bureau of Investigation,"Name mismatch: cited ""Perez v. FBI"" vs found ""Perez v. Federal Bureau of Investigation"", but we identified a possible match."
"Pleasant Grove City v. Summum, 555 U.S. 460 (2009)",VERIFIED,1.0,145905,https://www.courtlistener.com/opinion/145905/pleasant-grove-city-v-summum/,Pleasant Grove City v. Summum,
"Rattigan v. Holder, 689 F.3d 764 (D.C. Cir. 2012)",VERIFIED,1.0,803949,https://www.courtlistener.com/opinion/803949/wilfred-rattigan-v-eric-holder-jr/,"Wilfred Rattigan v. Eric Holder, Jr.",
"Rattigan v. Holder, 780 F.3d 413 (D.C. Cir. 2015)",VERIFIED,1.0,2786006,https://www.courtlistener.com/opinion/2786006/wilfred-rattigan-v-eric-holder-jr/,"Wilfred Rattigan v. Eric Holder, Jr.",
"Rumsfeld v. Forum for Acad. & Inst. Rts., Inc., 547 U.S. 47 (2006)",NOT_FOUND,0.0,,,,No matching cases found in CourtListener opinions or RECAP
"Rutan v. Republican Party of Ill., 497 U.S. 62 (1990)",POSSIBLE_MATCH,0.8339,112472,https://www.courtlistener.com/opinion/112472/rutan-v-republican-party-of-illinois/,Rutan v. Republican Party of Illinois,"Name differs: cited ""Rutan v. Republican Party of Ill."" ~ found ""Rutan v. Republican Party of Illinois"" (77% similar), but we identified a possible match."
"Ryan v. Reno, 168 F.3d 520 (D.C. Cir. 1999)",VERIFIED,1.0,184768,https://www.courtlistener.com/opinion/184768/ryan-john-clement-v-reno-janet/,"Ryan, John Clement v. Reno, Janet",
"Seila L. LLC v. Consumer Fin. Prot. Bureau, 591 U.S. 197 (2020)",VERIFIED,1.0,4764603,https://www.courtlistener.com/opinion/4764603/seila-law-llc-v-consumer-financial-protection-bureau/,Seila Law LLC v. Consumer Financial Protection Bureau,
"Shurtleff v. City of Boston, 596 U.S. 243 (2022)",VERIFIED,1.0,6468902,https://www.courtlistener.com/opinion/6468902/shurtleff-v-boston/,Shurtleff v. Boston,
"Sierra Club v. Costle, 657 F.2d 298 (D.C. Cir. 1981)",LIKELY_REAL,0.875,393674,https://www.courtlistener.com/opinion/393674/sierra-club-v-douglas-m-costle-administrator-of-the-environmental/,"Sierra Club v. Douglas M. Costle, Administrator of the Environmental Protection Agency, National Coal Association, Alabama Power Company, Intervenors",We identified a likely match.
"TikTok Inc. v. Garland, 604 U.S. 56 (2025)",LIKELY_REAL,0.95,10776875,https://www.courtlistener.com/opinion/10776875/tiktok-inc-v-garland/,TikTok Inc. v. Garland,We identified a likely match.
"United States v. Regenerative Scis., LLC, 741 F.3d 1314 (D.C. Cir. 2014)",VERIFIED,1.0,2652122,https://www.courtlistener.com/opinion/2652122/united-states-v-regenerative-sciences-llc/,"United States v. Regenerative Sciences, LLC",
"United States v. Salerno, 481 U.S. 739 (1987)",VERIFIED,1.0,111891,https://www.courtlistener.com/opinion/111891/united-states-v-salerno/,United States v. Salerno,
"Vill. of Willowbrook v. Olech, 528 U.S. 562 (2000)",VERIFIED,1.0,1855348,https://www.courtlistener.com/opinion/1855348/village-of-willowbrook-v-olech/,Village of Willowbrook v. Olech,
"Walker v. Tex. Div., Sons of Confederate Veterans, Inc., 576 U.S. 200 (2015)",VERIFIED,1.0,2809762,https://www.courtlistener.com/opinion/2809762/walker-v-texas-div-sons-of-confederate-veterans-inc/,"Walker v. Texas Div., Sons of Confederate Veterans, Inc.",
"Wheat v. United States, 486 U.S. 153 (1988)",VERIFIED,1.0,112074,https://www.courtlistener.com/opinion/112074/wheat-v-united-states/,Wheat v. United States,
"Wyo. Outdoor Council v. U.S. Forest Serv., 165 F.3d 43 (D.C. Cir. 1999)",POSSIBLE_MATCH,0.7806,184751,https://www.courtlistener.com/opinion/184751/wyoming-outdoor-council-v-united-states-forest-service/,Wyoming Outdoor Council v. United States Forest Service,"Name differs: cited ""Wyo. Outdoor Council v. U.S. Forest Service."" ~ found ""Wyoming Outdoor Council v. United States Forest Service"" (66% similar), but we identified a possible match."
"Zivotofsky ex rel. Zivotofsky v. Kerry, 576 U.S. 1 (2015)",VERIFIED,1.0,2808294,https://www.courtlistener.com/opinion/2808294/zivotofsky-v-kerry/,Zivotofsky v. Kerry,
