"id","source","proposition","gold_name","gold_cite","model_response","extracted_case_name","extracted_citation","extracted_year","real","real_status","name_match","matched_cl_name","matched_cluster_id","right_case","supports","support_rationale","support_cost_usd","model_cost_usd"
"lepard-11638484_57","lepard","” Accordingly, the jurisdictional inquiry is two-fold: first, the court looks to the law of the forum state— here, New York — to determine whether it may exert personal jurisdiction over the foreign defendant; if so, the court then considers whether subjecting the defendant to personal jurisdiction comports with the requirements of due process. The New York long-arm statute confers personal jurisdiction over a foreign defendant that “","Bank Brussels Lambert v. Fiddler Gonzalez & Rodriguez","Bank Brussels Lambert v. Fiddler Gonzalez & Rodriguez, 171 F.3d 779 (1999)","Chloe v. Queen Bee of Beverly Hills, LLC, 616 F.3d 158 (2d Cir. 2010)","Chloe v. Queen Bee of Beverly Hills, LLC","616 F.3d 158","2010","Y","VERIFIED","Y","Chloé v. Queen Bee of Beverly Hills, LLC","152515","N","Green","The opinion explicitly articulates the identical two-step framework: first apply New York's long-arm statute, then analyze due process compliance, and quotes N.Y. C.P.L.R. Â§ 302(a) specifying when a court may exercise jurisdiction over a non-domiciliary.","0.06226229999999999","0.057675300000000006"
"lepard-11723119_72","lepard","It is the intent of this ordinance to provide for such control. Finally, the zoning, size, and height restrictions are themselves constitutional because they are content-neutral “time, place, and manner” restrictions that are “justified without reference to the content of the regulated speech,... serve a significant govern mental interest, and... leave open ample alternative channels for communication of the information.","Metromedia, Inc. v. City of San Diego","Metromedia, Inc. v. City of San Diego, 453 U.S. 490 (1981)","Ward v. Rock Against Racism, 491 U.S. 781 (U.S. 1989)","Ward v. Rock Against Racism","491 U.S. 781","1989","Y","VERIFIED","Y","Ward v. Rock Against Racism","112315","N","Green","Ward v. Rock Against Racism directly establishes the three-part time, place, and manner testâ€”content-neutral, serves a significant governmental interest, and leaves open ample alternative channelsâ€”using nearly identical language to the proposition.","0.0555048","0.051285300000000006"
"lepard-1564344_20","lepard","Under that Act, “when a federal employee is named in a tort suit, the Attorney General or his designee may certify that the employee was ‘acting within the scope of his office or employment at the time of the incident out of which the claim arose.","Gutierrez de Martinez v. Lamagno","Gutierrez de Martinez v. Lamagno, 515 U.S. 417 (1995)","Gutierrez de Martinez v. Lamagno, 515 U.S. 417 (U.S. 1995)","Martinez v. Lamagno","515 U.S. 417","1995","Y","VERIFIED","Y","Gutierrez De Martinez v. Lamagno","117955","Y","Green","The opinion excerpt directly quotes the Westfall Act provision at 28 U.S.C. Â§2679(d)(1) stating the Attorney General certifies the employee 'was acting within the scope of his office or employment at the time of the incident out of which the claim arose,' which is precisely the proposition stated.","0.05631105","0.043541550000000005"
"lepard-327080_29","lepard","Similarly, the main purposes of RCRA are to reduce “the generation of hazardous waste and to ensure the proper treatment, storage, and disposal of that waste which is nonetheless generated, ‘so as to'minimize the present and future threat to human health and the environment.","Meghrig v. KFC Western, Inc.","Meghrig v. KFC Western, Inc., 516 U.S. 479 (1996)","Meghrig v. KFC Western, Inc., 516 U.S. 479 (1996)","Meghrig v. KFC Western, Inc.","516 U.S. 479","1996","Y","VERIFIED","Y","Meghrig v. KFC Western, Inc.","118007","Y","Green","The opinion explicitly states RCRA's primary purpose is 'to reduce the generation of hazardous waste and to ensure the proper treatment, storage, and disposal of that waste which is nonetheless generated, so as to minimize the present and future threat to human health and the environment,' quoting 42 U.S.C. 6902(b), which is exactly the proposition asserted.","0.05760105","0.04415655"
"lepard-11572535_9","lepard","v. Reeves Brothers, Inc., 260 F.3d 1343, 1348 (Fed.Cir.2001) (arguments made by the patentee during prosecution of the patent limit the scope of the invention). The prosecution history and patent specification are to be applied to narrow the scope of a claim where the patentee argued a narrow claim construction to obtain allowance of the claim by the Patent Office. Even where the ordinary meaning of the claim is clear, it is well-established that “[tjhe prosecution history limits the interpretation of claim terms so as to exclude any interpretation that was disclaimed during prosecution.","Elkay Manufacturing Co. v. Ebco Manufacturing Co.","Elkay Manufacturing Co. v. Ebco Manufacturing Co., 192 F.3d 973 (1999)","Southwall Technologies, Inc. v. Cardinal IG Co., 54 F.3d 1570 (Fed. Cir. 1995)","Southwall Technologies, Inc. v. Cardinal IG Co.","54 F.3d 1570","1995","Y","VERIFIED","Y","Southwall Technologies, Inc. v. Cardinal Ig Company","696248","N","Green","The excerpt from Southwall explicitly states 'The prosecution history limits the interpretation of claim terms so as to exclude any interpretation that was disclaimed during prosecution,' directly supporting the proposition.","0.05718105","0.04225155"
"lepard-11679553_7","lepard","Defendants argue that Congress’ purpose in enacting the PLRA was to curtail frivolous prisoner litigation, and that reading the statute to bar certain claims by current but not former prisoners is not faithful to congressional intent because, under our interpretation today, some claims “for mental or emotional injury suffered while in custody” can be brought “","Davis v. District of Columbia","Davis v. District of Columbia, 158 F.3d 1342 (1998)","UNKNOWN","","","","N","","N","","","N","","model returned UNKNOWN","0.0","0.0611478"
"lepard-11585652_2","lepard","631, 645, 130 S.Ct. 2549, 177 L.Ed.2d 130 (2010). See, e.g., Spitsyn v. Moore, 345 F.3d 796, 799 (9th Cir.2003) (“","Miles v. Prunty","Miles v. Prunty, 187 F.3d 1104 (1999)","UNKNOWN","","","","N","","N","","","N","","model returned UNKNOWN","0.0","0.036904049999999994"
"lepard-11735156_14","lepard","at 67, 61 S.Ct. at 404; Pertuso, 233 F.3d at 425-26. The Court will address each of these alternatives in turn. As noted above, the Bankruptcy Code was enacted pursuant to the authority that the Constitution grants to Congress to enact “","Perez. v. Campbell","Perez. v. Campbell, 402 U.S. 637 (1971)","UNKNOWN","","","","N","","N","","","N","","model returned UNKNOWN","0.0","0.03688905"
"lepard-1490680_42","lepard","§ 7403(a)(3). This lack of congruence between the legislative history of the Clean Water Act and the provisions of the Clean Air Act makes the relevance of the legislative history of the Clean Water Act questionable. Postenactment statements should be used only sparingly as determinative of legislative intent because of the basic unreliability of statements made with nothing at stake regarding the earlier legislation. On June 3,1970, the Committee on Interstate and Foreign Commerce of the House of Representatives reported out its version of the amendments to the Clean Air Act, which limited entries to “","Marshall v. Barlow’s, Inc.","Marshall v. Barlow’s, Inc., 436 U.S. 307 (1978)","UNKNOWN","","","","N","","N","","","N","","model returned UNKNOWN","0.0","0.0511053"
"lepard-11716177_65","lepard","Standing doctrine also serves to improve judicial decision-making by ensuring that a concrete case informs the court of the consequences of its decisions, and by ensuring that the party bringing the case has “","O’Shea v. Littleton","O’Shea v. Littleton, 414 U.S. 488 (1974)","Baker v. Carr, 369 U.S. 186 (1962)","Baker v. Carr","369 U.S. 186","1962","Y","VERIFIED","Y","Baker v. Carr","106366","N","Red","Baker v. Carr addresses legislative apportionment justiciability and subject-matter jurisdiction, not the rationale for standing doctrine as a tool to improve judicial decision-making; the excerpt only notes in passing that plaintiffs have standing, without discussing standing's purpose.","0.06225105","0.05546655"
"lepard-1493881_53","lepard","Thus, we conclude that Concrete Works has standing to challenge the constitutionality of Denver’s race- and gender-conscious contract program. C. The Fourteenth Amendment provides that “No State shall... deny to any person within its jurisdiction the equal protection of the laws.","City of Richmond v. J. A. Croson Co.","City of Richmond v. J. A. Croson Co., 488 U.S. 469 (1989)","Concrete Works of Colorado, Inc. v. City & County of Denver, 321 F.3d 950 (10th Cir. 2003)","Concrete Works  Colorado, Inc. v. City & County of Denver","321 F.3d 950","2003","Y","VERIFIED","Y","Concrete Works of Colorado, Inc. v. City & County of Denver","163083","N","Green","The excerpt explicitly confirms CWC's standing to challenge Denver's M/WBE ordinance and quotes the Fourteenth Amendment equal protection clause verbatim, directly supporting both elements of the proposition.","0.0625248","0.0423828"
"lepard-857722_19","lepard","147, 161, 102 S.Ct. 2364, 72 L.Ed.2d 740 (1982); In re Visa Check/Mastermoney Antitrust Litig., 280 F.3d 124, 134 (2d Cir.2001). The four prerequisites set forth in Rule 23(a) are as follows: (1) the class is so numerous that joinder of all members is impracticable, (2) there are questions of law or fact common to the class, (3) the claims or defenses of the representative parties are typical of the claims or defenses of the class, and (4) the representative parties will fairly and adequately protect the interests of the class. In addition, the plaintiffs must establish in this case that a class action may be maintained under Rule 23(b), which requires a finding “","Blyden v. Mancusi","Blyden v. Mancusi, 186 F.3d 252 (1999)","Wal-Mart Stores, Inc. v. Dukes, 564 U.S. 338 (U.S. 2011)","Wal-Mart Stores, Inc. v. Dukes","564 U.S. 338","2011","Y","VERIFIED","Y","Wal-Mart Stores, Inc. v. Dukes","219618","N","Yellow","The Wal-Mart excerpt does quote and discuss the four Rule 23(a) prerequisites verbatim, but the proposition appears to be a string citation from a brief or opinion reciting standard class certification law, while Wal-Mart is primarily about the commonality requirement's demanding standardâ€”it does not straightforwardly 'support' the neutral recitation of the four prerequisites as the proposition frames it.","0.0575523","0.0378903"
"lepard-11576949_17","lepard","775, 807, 118 S.Ct. 2275, 141 L.Ed.2d 662 (1998). However, when the supervisor takes no tangible employment action, the employer can raise an affirmative defense to liability. To raise this affirmative defense, the employer must prove by a preponderance of the evidence that (1) “","Caridad v. Metro-North Commuter Railroad","Caridad v. Metro-North Commuter Railroad, 191 F.3d 283 (1999)","UNKNOWN","","","","N","","N","","","N","","model returned UNKNOWN","0.0","0.0369453"
"lepard-11852631_28","lepard","A decision is considered final if it “ends the litigation on the merits and leaves nothing for the court to do but execute the judgment,” id. at 646 (citations omitted), whereas an interlocutory order “","Fleet Data Processing Corp. v. Branch (In re Bank of New England Corp.)","Fleet Data Processing Corp. v. Branch (In re Bank of New England Corp.), 218 B.R. 643 (1998)","Catlin v. United States, 324 U.S. 229 (1945)","Catlin v. United States","324 U.S. 229","1945","Y","VERIFIED","Y","Catlin v. United States","104095","N","Green","The exact quoted languageâ€”'ends the litigation on the merits and leaves nothing for the court to do but execute the judgment'â€”appears verbatim in Catlin, paragraph 5, directly defining 'final decision' under Section 128 of the Judicial Code.","0.06192105","0.0502803"
"lepard-1366667_7","lepard","154, 178, 117 S.Ct. 1154, 137 L.Ed.2d 281 (1997). This finality requirement permits an agency to apply its expertise and correct its errors, and it precludes courts from engaging in piecemeal review. In reviewing the agency’s final decision, the court may set aside the ruling only if it is “","Texas Oil & Gas Ass'n v. United States Environmental Protection Agency","Texas Oil & Gas Ass'n v. United States Environmental Protection Agency, 161 F.3d 923 (1998)","Bennett v. Spear, 520 U.S. 154 (1997)","Bennett v. Spear","520 U.S. 154","1997","Y","VERIFIED","Y","Bennett v. Spear","118096","N","Yellow","Bennett v. Spear does address APA final agency action and the arbitrary-and-capricious standard, but its primary holding concerns standing/zone-of-interests; the specific rationale about finality permitting agency error-correction and preventing piecemeal review is not articulated in the excerpted text, making the citation only partially on-point for that proposition.","0.0738873","0.0511278"
"lepard-11638484_35","lepard","Rasor dated June 1, 2001 (the “Rasor Affidavit”). In addition, the plaintiffs seek damages in excess of $75,000. Accordingly, diversity jurisdiction exists with respect to the Holl-ingsworth Estate. Personal Jurisdiction “","Bank Brussels Lambert v. Fiddler Gonzalez & Rodriguez","Bank Brussels Lambert v. Fiddler Gonzalez & Rodriguez, 171 F.3d 779 (1999)","St. Paul Mercury Indemnity Co. v. Red Cab Co., 303 U.S. 283 (U.S. 1938)","St. Paul Mercury Indemnity Co. v. Red Cab Co.","303 U.S. 283","1938","Y","VERIFIED","Y","Saint Paul Mercury Indemnity Co. v. Red Cab Co.","102976","N","Yellow","Saint Paul Mercury establishes the 'legal certainty' standard for amount-in-controversy and that the sum claimed by plaintiff controls if made in good faith, which supports relying on a >$75,000 damages claim for diversity jurisdiction, but the case does not address diversity jurisdiction based on an affidavit or the Hollingsworth Estate specifically.","0.05785605","0.04394655"
"lepard-268608_3","lepard","277, 297 n. 24, 103 S.Ct. 3001, 77 L.Ed.2d 637 (stating that Court does not raise general validity of life sentences without parole, but only considers issue before it, which is “whether, in the circumstances of [the] case and in light of the constitutional principal of proportionality, the sentence imposed on [the] petitioner violates the Eighth Amendment”). While we do not mean to suggest that the decision in Robtoy was erroneous, that decision is not enough, in itself, to establish that a contrary rule would constitute an “","Green v. French","Green v. French, 143 F.3d 865 (1998)","UNKNOWN","","","","N","","N","","","N","","model returned UNKNOWN","0.0","0.03715155"
"lepard-11574055_13","lepard","We conclude below that it does. B. A plaintiff may bring a Section 1983 claim alleging that public officials, acting in their official capacity, took action with the intent to retaliate against, obstruct, or chill the plaintiffs First Amendment rights. To bring a First Amendment retaliation claim, the plaintiff must,allege that (1) it engaged in constitutionally protected activity; (2) the defendant’s actions would “","Mendocino Environmental Center v. Mendocino County","Mendocino Environmental Center v. Mendocino County, 192 F.3d 1283 (1999)","Thaddeus-X v. Blatter, 175 F.3d 378 (6th Cir. 1999)","Thaddeus-X v. Blatter","175 F.3d 378","1999","Y","VERIFIED","Y","Thaddeus-X and Earnest Bell, Jr. v. Blatter","763587","N","Green","Thaddeus-X directly establishes the Section 1983 First Amendment retaliation framework, confirming that government officials who retaliate against plaintiffs for exercising constitutional rights are liable under Â§ 1983, and the opinion explicitly articulates the element that the plaintiff engaged in constitutionally protected conduct as the first prong of the retaliation test.","0.0633573","0.05579655"
"lepard-11638484_35","lepard","310, 316, 66 S.Ct. 154, 90 L.Ed. 95 (1945) (internal quotation marks omitted); see [CASE], [CASE], 784 (2d Cir.1999) (where the defendants have moved to dismiss for lack of personal jurisdiction, “","Bank Brussels Lambert v. Fiddler Gonzalez & Rodriguez","Bank Brussels Lambert v. Fiddler Gonzalez & Rodriguez, 171 F.3d 779 (1999)","UNKNOWN","","","","N","","N","","","N","","model returned UNKNOWN","0.0","0.036919049999999995"
"lepard-1564297_100","lepard","A small business concern “shall be deemed to be one which is independently owned and operated and which is not dominant in its field of operation” and which has annual receipts and a number of employees below a certain threshold established by SBA regulations. “","Adarand Constructors, Inc. v. Pena","Adarand Constructors, Inc. v. Pena, 515 U.S. 200 (1995)","UNKNOWN","","","","N","","N","","","N","","model returned UNKNOWN","0.0","0.045176549999999996"
"lepard-1512303_21","lepard","In exercising their powers and duties, section 3.4 of the Trust Agreement required the Trustees to act “solely in the interest of the plan participants and other persons entitled to benefits [thereunder],” for the exclusive purpose of “providing benefits to participants” and “","Central States, Southeast & Southwest Areas Pension Fund v. Central Transport, Inc.","Central States, Southeast & Southwest Areas Pension Fund v. Central Transport, Inc., 472 U.S. 559 (1985)","UNKNOWN","","","","N","","N","","","N","","model returned UNKNOWN","0.0","0.0455028"
"lepard-1519407_27","lepard","28 U.S.C. § 2412(b). Under American common law, the prevailing rule is that litigants must bear their own attorney's fees regardless of the litigation’s outcome. One recognized exception to this so-called “American Rule” is when the “losing party has ‘acted in bad faith, vexatiously, wantonly, or for oppressive reasons.","F. D. Rich Co. v. United States ex rel. Industrial Lumber Co.","F. D. Rich Co. v. United States ex rel. Industrial Lumber Co., 417 U.S. 116 (1974)","Alyeska Pipeline Service Co. v. Wilderness Society, 421 U.S. 240 (U.S. 1975)","Alyeska Pipeline Service Co. v. Wilderness Society","421 U.S. 240","1975","Y","VERIFIED","Y","Alyeska Pipeline Service Co. v. Wilderness Society","109246","N","Green","The excerpt explicitly states the American Rule and identifies the bad faith exception using the exact quoted language: 'acted in bad faith, vexatiously, wantonly, or for oppressive reasons.'","0.05703105","0.0431628"
"lepard-11716177_64","lepard","at 105, 103 S.Ct. 1660. “[p]ast exposure to illegal conduct does not in itself show a present case or controversy regarding injunctive relief... if unaccompanied by any continuing, present adverse effects.","O’Shea v. Littleton","O’Shea v. Littleton, 414 U.S. 488 (1974)","City of Los Angeles v. Lyons, 461 U.S. 95 (U.S. 1983)","City  Los Angeles v. Lyons","461 U.S. 95","1983","Y","VERIFIED","Y","City of Los Angeles v. Lyons","110916","N","Yellow","The quoted language appears in the Lyons opinion (around *102â€“103), but it is Lyons quoting O'Shea v. Littleton, 414 U.S. 488, 495â€“496; the pin cite 'at 105' is off, and the proposition slightly misattributes original authorship to Lyons rather than O'Shea.","0.0766623","0.04246155"
"lepard-11651497_8","lepard","Gehl Group v. Koby, 63 F.3d 1528, 1533 (10th Cir.1995). To demonstrate that the law was clearly established, Smith must show that the alleged unlawfulness of Cochran’s conduct was apparent in light of preexisting law. “","United States v. Lanier","United States v. Lanier, 520 U.S. 259 (1997)","Anderson v. Creighton, 483 U.S. 635 (1987)","Anderson v. Creighton","483 U.S. 635","1987","Y","VERIFIED","Y","Anderson v. Creighton","111953","N","Green","Anderson v. Creighton explicitly states 'in the light of pre-existing law the unlawfulness must be apparent,' which is the precise standard the proposition attributes to it.","0.054578549999999997","0.04249155"
"lepard-11567270_9","lepard","(Id. ¶ 45; Def.’s Statement of Facts ¶ 49.) Waffle House denies the facts alleged by the Plaintiffs. II. Summary Judgment Standard Summary judgment is appropriate where “","Herzog v. Castle Rock Entertainment","Herzog v. Castle Rock Entertainment, 193 F.3d 1241 (1999)","Anderson v. Liberty Lobby, Inc., 477 U.S. 242 (U.S. 1986)","Anderson v. Liberty Lobby, Inc.","477 U.S. 242","1986","Y","VERIFIED","Y","Anderson v. Liberty Lobby, Inc.","111719","N","Green","Anderson v. Liberty Lobby directly establishes the summary judgment standard under Rule 56â€”no genuine issue of material fact and moving party entitled to judgment as a matter of lawâ€”which is the exact standard the proposition quotes.","0.055223549999999996","0.043260299999999995"
"lepard-11619384_15","lepard","11, 106 S.Ct. 1348, 1356 n. 11, 89 L.Ed.2d 538 (1986) (quoting Fed. In addition, the Court must “read the pleadings of a pro se plaintiff liberally and interpret them ‘to raise the strongest arguments that they suggest.","McPherson v. Coombe","McPherson v. Coombe, 174 F.3d 276 (1999)","Haines v. Kerner, 404 U.S. 519 (U.S. 1972)","Haines v. Kerner","404 U.S. 519","1972","Y","VERIFIED","Y","Haines v. Kerner","108432","N","Yellow","Haines v. Kerner establishes the 'less stringent standards' rule for pro se pleadings, which supports liberal construction, but the specific 'strongest arguments' language in the proposition comes from a different source, not this case.","0.04164105","0.04396155"
"lepard-268773_6","lepard","602965/97 (Sup.Ct.N.Y. March 6, 1998). On April 24, 1998, plaintiffs brought the present action seeking to recover the money they claim is owed as a result of their arranging for celebrities to appear at the October 25 store opening celebration. Under Rule 12(b)(6) Dismissal of a complaint pursuant to Rule 12(b)(6) is proper “","Thomas v. City of New York","Thomas v. City of New York, 143 F.3d 31 (1998)","Bell Atlantic Corp. v. Twombly, 550 U.S. 544 (U.S. 2007)","Bell Atlantic Corp. v. Twombly","550 U.S. 544","2007","Y","VERIFIED","Y","Bell Atlantic Corp. v. Twombly","145730","N","Yellow","Twombly establishes the 12(b)(6) plausibility pleading standard referenced in the proposition, but the proposition's fragmentary quote cuts off before stating the actual standard, and the case arises in a Sherman Act antitrust context wholly unrelated to the celebrity-booking contract dispute described.","0.0580248","0.0374253"
"lepard-11592391_8","lepard","Importantly, § 1334(b) confers original but not exclusive jurisdiction to the federal courts ""for proceedings either 'arising under title 11,' 'arising in... cases under title 11,' or'related to... cases under title 11.' ""","Continental National Bank v. Sanchez","Continental National Bank v. Sanchez, 170 F.3d 1340 (1999)","Celotex Corp. v. Edwards, 514 U.S. 300 (U.S. 1995)","Celotex Corp. v. Edwards","514 U.S. 300","1995","Y","VERIFIED","Y","Celotex Corp. v. Edwards","117920","N","Green","The opinion text quotes Â§ 1334(b) verbatim and explicitly confirms it confers original but not exclusive jurisdiction over proceedings 'arising under title 11,' 'arising in,' or 'related to' cases under title 11.","0.0572073","0.04801905000000001"
"lepard-1540643_6","lepard","§ 2412(d)(2)(A)(ii). A claimant corporation, the net worth of which is less than $7,000,000, and who employs less than 500 people, at the time of suit, may file an application for attorney fees and costs under the EAJA. The EAJA also provides that the party seeking an award of fees must submit to the cornet an application that “shows... the amount sought, including an itemized statement from any attorney or expert witness representing or appearing [on] behalf of the party stating the actual time expended and the rate at which fees and other expenses were computed.","Bazalo v. West","Bazalo v. West, 150 F.3d 1380 (1998)","UNKNOWN","","","","N","","N","","","N","","model returned UNKNOWN","0.0","0.0519753"
