page,proposition,cited_case,retrieved_case,supporting_language,assessment,cl_url,cl_status,diagnostics,opinion_file,quoted_text,quote_check,quote_check_worst
6,A plaintiff's decision to undergo surgery does not constitute spoliation of evidence,"Gilliam v. Uni Holdings, LLC, 201 A.D.3d 83 (1st Dep't 2021)",Gilliam v. Uni holdings,"(1) Substance supported — opinion holds: ""we now reverse and hold that the condition of one's body is not the type of evidence that is subject to a spoliation analysis"" and ""plaintiff's pre-ME spine surgery did not result in the spoliation of evidence."" But quoted text ""a plaintiff's decision to undergo surgery does not constitute spoliation of evidence"" is not verbatim — it's a close paraphrase presented as a direct quote.",Yellow,https://www.courtlistener.com/opinion/5305052/gilliam-v-uni-holdings/,POSSIBLE_MATCH,"Low confidence: court not available in citation text; Citation mismatch: cited 201 A.D.3d 83 but CourtListener has 2021 NY Slip Op 06798, but we identified a possible match.",opinions/Gilliam_v_Uni_holdings.html,"[""a plaintiff\u2019s decision to undergo surgery does not constitute spoliation of evidence""]","[{""quote"": ""a plaintiff\u2019s decision to undergo surgery does not constitute spoliation of evidence"", ""result"": ""FABRICATED"", ""similarity"": 0.56}]",FABRICATED
7,A plaintiff did not have a duty to delay his surgery to allow for a defense medical examination,"Menges v. Cliffs Drilling Co., 2000 WL 765082 (E.D. La. June 12, 2000)",Patrick v. Tractor Supply Company,Case not found on CourtListener — cannot verify citation.,Red,https://www.courtlistener.com/docket/5356731/30/patrick-v-tractor-supply-company/,NOT_FOUND,"Found in RECAP (not in opinions database). Document dated 2017-01-30:  ORDER & REASONS that Defendant, Tractor Supply Company's  13   Motion for Summa...; Name mismatch: cited ""Menges v. Cliffs Drilling Co."" vs found ""Patrick v. Tractor Supply Company""; Date mismatch: cited 2000 vs filed 2017-01-30; Reporter citation 2000 WL 765082 could not be confirmed (CourtListener has no reporter citations on file for this case)",,"[""did not have a duty to delay his surgery""]",[],NO_OPINION
7,The party seeking spoliation sanctions must have acted in bad faith,"King v. Illinois Cent. R.R., 337 F.3d 550, 556 (5th Cir. 2003)",King v. Illinois Central Railroad,"(1) Substance accurate — opinion states ""King must show that ICR acted in 'bad faith.'"" But quoted text ""must have acted in 'bad faith'"" is CLOSE (0.68 similarity), not verbatim. Actual language: ""must show that [party] acted in bad faith.""",Yellow,https://www.courtlistener.com/opinion/8437633/king-v-illinois-central-railroad/,VERIFIED,,opinions/King_v_Illinois_Central_Railroad.html,"[""must have acted in \u2018bad faith.\u2019""]","[{""quote"": ""must have acted in \u2018bad faith.\u2019"", ""result"": ""CLOSE"", ""similarity"": 0.68}]",CLOSE
8,The probative value of inflammatory spoliation language is substantially outweighed by the danger of unfair prejudice,"Old Chief v. United States, 519 U.S. 172, 180 (1997)",Old Chief v. United States,"Old Chief v. United States does not discuss spoliation at all. The case concerns prior conviction evidence under 18 U.S.C. § 922(g)(1). The brief uses Old Chief's Rule 403 language about ""unfair prejudice"" to support a proposition about ""inflammatory spoliation language"" — a misapplication of the case.",Red,https://www.courtlistener.com/opinion/118074/old-chief-v-united-states/,VERIFIED,,opinions/Old_Chief_v_United_States.html,"[""unfair prejudice"", ""an undue tendency to suggest decision on an improper basis""]","[{""quote"": ""unfair prejudice"", ""result"": ""VERBATIM"", ""similarity"": 1.0}, {""quote"": ""an undue tendency to suggest decision on an improper basis"", ""result"": ""VERBATIM"", ""similarity"": 1.0}]",VERBATIM
9,The Supreme Court has long recognized the prejudicial impact of arrest evidence where no conviction exists,"Michelson v. United States, 335 U.S. 469, 475-76 (1948)",Michelson v. United States,"(1) Supports: ""Arrest without more does not, in law any more than in reason, impeach the integrity or impair the credibility of a witness. It happens to the innocent as well as the guilty."" The Court further noted the jury ""almost surely cannot comprehend the judge's limiting instruction,"" recognizing the prejudicial impact. (pp. 475-76, 482-485)",Green,https://www.courtlistener.com/opinion/104607/michelson-v-united-states/,VERIFIED,,opinions/Michelson_v_United_States.html,[],[],NO_QUOTES
10,Evidence must be excluded under Rule 403 when any minimal probative value is substantially outweighed by the danger of unfair prejudice,"United States v. McRae, 593 F.2d 700, 707 (5th Cir. 1979)",United States v. Stephen Roderick McRae,"The opinion discusses Rule 403's framework but does not state evidence ""must be excluded"" when ""any minimal probative value"" is outweighed. The opinion emphasizes discretion: ""Rule 403 is meant to relax the iron rule of relevance, to permit the trial judge to preserve the fairness of the proceedings by exclusion."" The proposition overstates by using mandatory language and lowering the threshold.",Yellow,https://www.courtlistener.com/opinion/363891/united-states-v-stephen-roderick-mcrae/,VERIFIED,,opinions/United_States_v_Stephen_Roderick_McRae.html,[],[],NO_QUOTES
11,Bias evidence must demonstrate actual bias affecting the witness's testimony,"United States v. Abel, 469 U.S. 45, 52 (1984)",United States v. Abel,"Abel defines bias as ""the relationship between a party and a witness which might lead the witness to slant, unconsciously or otherwise, his testimony"" but allows bias to be inferred from circumstances (shared gang membership) — it does not require proof of ""actual bias affecting the witness's testimony"" as the proposition states. The proposition overstates the standard.",Yellow,https://www.courtlistener.com/opinion/111285/united-states-v-abel/,VERIFIED,,opinions/United_States_v_Abel.html,[],[],NO_QUOTES
12,The eggshell plaintiff doctrine holds that a tortfeasor takes the victim as they find them,"Maurer v. United States, 668 F.2d 98, 99 (2d Cir. 1981)",Louis A. Maurer v. United States,"(1) Supports: ""It is a settled principle of tort law that when a defendant's wrongful act causes injury, he is fully liable for the resulting damage even though the injured plaintiff had a preexisting condition that made the consequences of the wrongful act more severe than they would have been for a normal victim. The defendant takes the plaintiff as he finds him."" (p. 99)",Green,https://www.courtlistener.com/opinion/398652/louis-a-maurer-v-united-states/,VERIFIED,,opinions/Louis_A_Maurer_v_United_States.html,[],[],NO_QUOTES
12,Defendants are liable for all consequences of their negligence even when those consequences are more severe due to the plaintiff's pre-existing vulnerabilities,"Koch v. United States, 857 F.3d 267, 279 (5th Cir. 2017)","Ricky Koch v. Tote, Incorporated","(1) Supports: ""when a defendant's negligent act causes injury to someone with a preexisting condition, the defendant is fully liable for all resulting damage"" and ""a defendant takes the plaintiff as he finds him.""",Green,https://www.courtlistener.com/opinion/4390987/ricky-koch-v-tote-incorporated/,VERIFIED,,opinions/Ricky_Koch_v_Tote_Incorporated.html,[],[],NO_QUOTES
13,The tortfeasor takes his victim as he finds him and is responsible for all natural and probable consequences of his tortious conduct,"Lasha v. Olin Corp., 625 So. 2d 1002, 1006 (La. 1993)",Lasha v. Olin Corp.,"(1) Substance directly matches — opinion states ""a defendant takes his victim as he finds him and is responsible for all natural and probable consequences of his tortious conduct."" However, quote check returned CLOSE (0.78 similarity), indicating the brief's quoted language has minor wording differences from the actual opinion text.",Yellow,https://www.courtlistener.com/opinion/1112408/lasha-v-olin-corp/,VERIFIED,,opinions/Lasha_v_Olin_Corp.html,"[""The tortfeasor takes his victim as he finds him and is responsible for all natural and probable consequences of his tortious conduct.""]","[{""quote"": ""The tortfeasor takes his victim as he finds him and is responsible for all natural and probable consequences of his tortious conduct."", ""result"": ""CLOSE"", ""similarity"": 0.78}]",CLOSE
