pdf,citation_text,context,classification,case_name,plaintiff,defendant,volume,reporter,page,court,year,month,day,docket_number,is_westlaw,wl_number,review_reason,v_status,v_confidence,v_url,v_matched_name,v_git_hash,qc_status,qc_notes,
Button_v._Mccawley_USA_4_February_2026.pdf,"O'Brien v. Flick, No. 24-61529-CIV, 2025 WL 242924 (S.D. Fla. Jan. 10, 2025)","...6 at 3 n.2; ECF No. 79 at 6]. Courts in this District have not hesitated to sanction parties, even pro se litigants, for fake or hallucinated citations. See, e.g., O'Brien v. Flick, No. 24-61529-CIV, 2025 WL 242924, at *6–7 (S.D. Fla. Jan. 10, 2025) (Damian, J.) (dismissing pro se plaintiff's act",likely_fake,O'Brien v. Flick,O'Brien,Flick,2025,WL,242924,flsd,2025,1,10,24-61529-CIV,TRUE,242924,,LIKELY_REAL,0.9,https://www.courtlistener.com/docket/69061173/22/obrien-v-flick/,O'Brien v. Flick,a2243e0,data,"write document, but not in RECAP",
Button_v._Mccawley_USA_4_February_2026.pdf,"Kaplan v. DaimlerChrysler, A.G., 331 F.3d 1251 (11th Cir. 2003)","...g the award of $11,740 in attorneys' fees out of the requested $32,259)]. However, Plaintiffs must first be given an opportunity to respond to this Court's Order. See Kaplan v. DaimlerChrysler, A.G., 331 F.3d 1251, 1255 (11th Cir. 2003) (""The initiating court must employ (1) a 'show-cause' order ",likely_fake,"Kaplan v. DaimlerChrysler, A.G.",Kaplan,"DaimlerChrysler, A.G.",331,F.3d,1251,ca11,2003,,,,FALSE,,,,,,,,,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Russomanno v. Comm'r of Soc. Sec., No. 24-cv-01641, 2025 WL 2383541 (M.D. Fla. Aug. 18, 2025)","...laintiffs to ""ensure that all of their caselaw quotations 1 Even applying de novo review, Plaintiffs' meritless objections cannot be sustained. See Russomanno v. Comm'r of Soc. Sec., No. 24-cv-01641, 2025 WL 2383541, at *1–2 (M.D. Fla. Aug. 18, 2025) (""Applying either clear error or de novo revie",likely_real,Russomanno v. Commission'r of Soc. Sec.,Russomanno,Commission'r of Soc. Sec.,2025,WL,2383541,flmd,2025,8,18,24-cv-01641,TRUE,2383541,,POSSIBLE_MATCH,0.6222,https://www.courtlistener.com/docket/69146971/22/russomanno-v-commissioner-of-social-security/,Russomanno v. Commissioner of Social Security,cc46446,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Club Madonna Inc. v. City of Miami Beach, 42 F.4th 1231 (11th Cir. 2022)","...usions as the Magistrate Judge in her Report.""). To the extent Plaintiffs raise new argument not put forth before Judge Augustin-Birch, that is rejected. See Club Madonna Inc. v. City of Miami Beach, 42 F.4th 1231, 1259 (11th Cir. 2022) (quoting Williams v. McNeil, 557 F.3d 1287, 1292 (11th Cir. ",likely_real,Club Madonna Inc. v. City of Miami Beach,Club Madonna Inc.,City of Miami Beach,42,F.4th,1231,ca11,2022,,,,FALSE,,,VERIFIED,1,https://www.courtlistener.com/opinion/7852702/club-madonna-inc-v-city-of-miami-beach/,Club Madonna Inc. v. City of Miami Beach,e64568a,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Williams v. McNeil, 557 F.3d 1287 (11th Cir. 2009)","...intiffs raise new argument not put forth before Judge Augustin-Birch, that is rejected. See Club Madonna Inc. v. City of Miami Beach, 42 F.4th 1231, 1259 (11th Cir. 2022) (quoting Williams v. McNeil, 557 F.3d 1287, 1292 (11th Cir. 2009) (stating that a ""district court has discretion to decline to",likely_real,Williams v. McNeil,Williams,McNeil,557,F.3d,1287,ca11,2009,,,,FALSE,,,,,,,,,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Thomas v. Evans, 880 F.2d 1235 (11th Cir. 1989)","... Life Ins. Co., No. 11-14165-CIV, 2011 WL 13319575, at *1 (S.D. Fla. Aug. 2, 2011) (citing Meidinger v. Healthcare Indus. Oligopoly, 391 F. App'x 777, 778 (11th Cir. 2010)); see also Thomas v. Evans, 880 F.2d 1235, 1240 (11th Cir. 1989) (""Rule 11 applies to pro se plaintiffs . . . .""). In relevan",likely_real,Thomas v. Evans,Thomas,Evans,880,F.2d,1235,ca11,1989,,,,FALSE,,,VERIFIED,1,https://www.courtlistener.com/opinion/526826/albert-thomas-v-david-c-evans/,Albert Thomas v. David C. Evans,a0a9afc,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"In re Purchasing Power, LLC, 851 F.3d 1219 (11th Cir. 2017)","...aith."" Versant, 2025 WL 1440351 (citing McDonald v. Cooper Tire & Rubber Co., 186 F. App'x. 930, 931 (11th Cir. 2006)). Courts employ a subjective bad- faith standard here. See Purchasing Power, LLC, 851 F.3d 1219, 1224 (11th Cir. 2017). A subjective bad-faith standard can be met if a party's con",likely_real,"In re Purchasing Power, LLC",,,851,F.3d,1219,ca11,2017,,,,FALSE,,,VERIFIED,1,https://www.courtlistener.com/opinion/4376783/purchasing-power-llc-v-bluestem-brands-inc/,"Purchasing Power, LLC v. Bluestem Brands, Inc.",e64568a,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Quantum Communs. Corp. v. Star Broad., Inc., 473 F. Supp. 2d 1249 (S.D. Fla. 2007)","... (Gold, J.) (citing Chambers v. NASCO, Inc., 501 U.S. 32, 46 (1991); Malautea v. Suzuki Motor Co. Ltd., 987 F.2d 1536, 1545–46 (11th Cir. 1993)); see also Quantum Communs. Corp. v. Star Broad., Inc., 473 F. Supp. 2d 1249, 1268–69 (S.D. Fla. 2007) (Martinez, J.). When the court uses its inherent p",likely_real,"Quantum Communs. Corp. v. Star Broad., Inc.",Quantum Communs. Corp.,"Star Broad., Inc.",473,F. Supp. 2d,1249,flsd,2007,,,,FALSE,,,VERIFIED,1.0,https://www.courtlistener.com/opinion/2328321/qantum-communications-corp-v-star-broadcasting-inc/,"Qantum Communications Corp. v. Star Broadcasting, Inc.",cc46446,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Schwartz v. Millon Air, Inc., 341 F.3d 1220 (11th Cir. 2003)","... attorneys ""may not use confidential information obtained in one matter to gain advantage in another,"" with ECF No. 73 at 11 (similar); see also ECF No. 76 at 18 (citing Schwartz v. Millon Air, Inc., 341 F.3d 1220, 1225 (11th Cir. 2003) for the proposition 2 This citation instead turns up Mali v.",likely_real,"Schwartz v. Millon Air, Inc.",Schwartz,"Millon Air, Inc.",341,F.3d,1220,ca11,2003,,,,FALSE,,,VERIFIED,1,https://www.courtlistener.com/opinion/76290/schwartz-v-millon-air-inc/,"Schwartz v. Millon Air, Inc.",e64568a,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Mali v. British Airways, 2018 WL 3329858 (S.D.N.Y. July 6, 2018)","... 73 at 11 (similar); see also ECF No. 76 at 18 (citing Schwartz v. Millon Air, Inc., 341 F.3d 1220, 1225 (11th Cir. 2003) for the proposition 2 This citation instead turns up Mali v. British Airways, 2018 WL 3329858 (S.D.N.Y. July 6, 2018). There is a Harris v. City of Auburn case in existence, b",likely_real,Mali v. British Airways,Mali,British Airways,2018,WL,3329858,nysd,2018,7,6,,TRUE,3329858,,LIKELY_REAL,0.9,https://www.courtlistener.com/docket/7378483/mali-v-british-airways/,Mali v. British Airways,ff0a91d,,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Button v. Humphries, No. 24-cv-01730, 2025 WL 2994725 (C.D. Cal. Sept. 12, 2025)","...ly ECF No. 75]. 3 Not to mention the several courts across the country that have reprimanded Plaintiffs for hallucinated citations to legal authority. See, e.g., Button v. Humphries, No. 24-cv-01730, 2025 WL 2994725, at *4 n.2 (C.D. Cal. Sept. 12, 2025) (""The Buttons' pro se status does not warra",likely_real,Button v. Humphries,Button,Humphries,2025,WL,2994725,cacd,2025,9,12,24-cv-01730,TRUE,2994725,,LIKELY_REAL,0.875,https://www.courtlistener.com/docket/69037800/148/dusty-button-v-micah-humphries/,Dusty Button v. Micah Humphries,a0a9afc,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Macort v. Prem, Inc., 208 F. App'x 781 (11th Cir. 2006)","...e written objections which shall specifically identify the portions of the proposed findings and recommendation to which objection is made and the specific basis for objection."" Macort v. Prem, Inc., 208 F. App'x 781, 783 (11th Cir. 2006) (cleaned up). The objections must also present ""supporting",uncertain,"Macort v. Prem, Inc.",Macort,"Prem, Inc.",208,F. App'x,781,ca11,2006,,,,FALSE,,,,,,,,,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Fibertext Corp. v. New Concepts Distribs. Int'l, LLC, No. 20-20720-Civ, 2021 WL 302645 (S.D. Fla. Jan. 29, 2021)","...party's objections are ""conclusory, general, or simply rehash or reiterate the original briefs to the magistrate judge . . . ."" Fibertext Corp. v. New Concepts Distribs. Int'l, LLC, No. 20-20720-Civ, 2021 WL 302645, at *2 (S.D. Fla. Jan. 29, 2021) (Scola, J.) (citing Marlite, Inc. v. Eckenrod, No",uncertain,"Fibertext Corp. v. New Concepts Distribs. International, LLC",Fibertext Corp.,"New Concepts Distribs. International, LLC",2021,WL,302645,flsd,2021,1,29,20-20720-Civ,TRUE,302645,,NOT_FOUND,0.3153,https://www.courtlistener.com/docket/68239702/149/baloa-diaz-v-edi-korta-llc/,"Baloa Diaz v. Edi Korta, LLC",cc46446,investigate,did not find document that exists.,
Button_v._Mccawley_USA_4_February_2026.pdf,"Marlite, Inc. v. Eckenrod, No. 10-23641-CIV, 2012 WL 3614212 (S.D. Fla. Aug. 21, 2012)","...judge . . . ."" Fibertext Corp. v. New Concepts Distribs. Int'l, LLC, No. 20-20720-Civ, 2021 WL 302645, at *2 (S.D. Fla. Jan. 29, 2021) (Scola, J.) (citing Marlite, Inc. v. Eckenrod, No. 10-23641-CIV, 2012 WL 3614212, at *2 (S.D. Fla. Aug. 21, 2012)); see also Macort v. Prem, Inc., 208 F. App'x 78",uncertain,"Marlite, Inc. v. Eckenrod","Marlite, Inc.",Eckenrod,2012,WL,3614212,flsd,2012,8,21,10-23641-CIV,TRUE,3614212,,,,,,,,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Davis v. Comm'r of Soc. Sec., No. 23-cv-02075, 2025 WL 879980 (M.D. Fla. Mar. 21, 2025)","...o. 78 at 10–11 (citing many examples of regurgitated argument)]. Plaintiffs cannot ask this Court to ""traverse ground already plowed by the magistrate."" Davis v. Comm'r of Soc. Sec., No. 23-cv-02075, 2025 WL 879980, at *1 (M.D. Fla. Mar. 21, 2025) (alteration adopted) (citation and internal quota",uncertain,Davis v. Commission'r of Soc. Sec.,Davis,Commission'r of Soc. Sec.,2025,WL,879980,flmd,2025,3,21,23-cv-02075,TRUE,879980,,POSSIBLE_MATCH,0.62,https://www.courtlistener.com/docket/67921335/26/davis-v-commissioner-of-social-security/,Davis v. Commissioner of Social Security,a2243e0,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Grimshaw v. Metro. Life Ins. Co., No. 11-14165-CIV, 2011 WL 13319575 (S.D. Fla. Aug. 2, 2011)","...terized authority before this Court. It is well-settled that Rule 11 of the Federal Rules of Civil Procedure ""applies equally to pro se litigants."" Grimshaw v. Metro. Life Ins. Co., No. 11-14165-CIV, 2011 WL 13319575, at *1 (S.D. Fla. Aug. 2, 2011) (citing Meidinger v. Healthcare Indus. Oligopoly",uncertain,Grimshaw v. Metro. Life Insurance. Co.,Grimshaw,Metro. Life Insurance. Co.,2011,WL,13319575,flsd,2011,8,2,11-14165-CIV,TRUE,13319575,,NOT_FOUND,0.3921,https://www.courtlistener.com/docket/5433846/816/friends-everglades-v-south-florida-water/,Friends Everglades v. South Florida Water,e697e44,data,"opinion not part of RECAP, docket here: https://www.courtlistener.com/docket/12835633/font-colorred-restricted-filer-font-grimshaw-v-metropolitan-life/",
Button_v._Mccawley_USA_4_February_2026.pdf,"Meidinger v. Healthcare Indus. Oligopoly, 391 F. App'x 777 (11th Cir. 2010)","...Procedure ""applies equally to pro se litigants."" Grimshaw v. Metro. Life Ins. Co., No. 11-14165-CIV, 2011 WL 13319575, at *1 (S.D. Fla. Aug. 2, 2011) (citing Meidinger v. Healthcare Indus. Oligopoly, 391 F. App'x 777, 778 (11th Cir. 2010)); see also Thomas v. Evans, 880 F.2d 1235, 1240 (11th Cir.",uncertain,Meidinger v. Healthcare Indus. Oligopoly,Meidinger,Healthcare Indus. Oligopoly,391,F. App'x,777,ca11,2010,,,,FALSE,,,,,,,,,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Rubber Co. v. Haeger, 581 U.S. 101 (U.S. 2017)","...sess certain 'inherent powers,' not conferred by rule or statute, to manage their own affairs so as to achieve the orderly and expeditious disposition of cases."" Goodyear Tire & Rubber Co. v. Haeger, 581 U.S. 101, 107 (2017) (cleaned up) (quoting Link v. Wabash R. Co., 370 U.S. 626, 630–631 (1962",uncertain,Rubber Co. v. Haeger,Rubber Co.,Haeger,581,U.S.,101,usjc,2017,,,,FALSE,,,VERIFIED,1,https://www.courtlistener.com/opinion/4383732/goodyear-tire-rubber-co-v-haeger/,Goodyear Tire & Rubber Co. v. Haeger,a0a9afc,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Link v. Wabash R. Co., 370 U.S. 626 (U.S. 2006)","...anage their own affairs so as to achieve the orderly and expeditious disposition of cases."" Goodyear Tire & Rubber Co. v. Haeger, 581 U.S. 101, 107 (2017) (cleaned up) (quoting Link v. Wabash R. Co., 370 U.S. 626, 630–631 (1962)). ""To exercise its inherent power to impose sanctions, a court must ",uncertain,Link v. Wabash R. Co.,Link,Wabash R. Co.,370,U.S.,626,usjc,2006,,,,FALSE,,,,,,,,,,
Button_v._Mccawley_USA_4_February_2026.pdf,"In re Versant, 2025 WL 1440351 (2006)","... (2017) (cleaned up) (quoting Link v. Wabash R. Co., 370 U.S. 626, 630–631 (1962)). ""To exercise its inherent power to impose sanctions, a court must find that the party acted in bad faith."" Versant, 2025 WL 1440351 (citing McDonald v. Cooper Tire & Rubber Co., 186 F. App'x. 930, 931 (11th Cir. 2",uncertain,In re Versant,,,2025,WL,1440351,,2025,,,,TRUE,1440351,,NOT_FOUND,0.3518,https://www.courtlistener.com/docket/17474113/590/in-re-vaxart-inc-securities-litigation/,"In re Vaxart, Inc. Securities Litigation",e697e44,,,
Button_v._Mccawley_USA_4_February_2026.pdf,"McDonald v. Cooper Tire & Rubber Co., 186 F. App'x. 930 (11th Cir. 2006)","...626, 630–631 (1962)). ""To exercise its inherent power to impose sanctions, a court must find that the party acted in bad faith."" Versant, 2025 WL 1440351 (citing McDonald v. Cooper Tire & Rubber Co., 186 F. App'x. 930, 931 (11th Cir. 2006)). Courts employ a subjective bad- faith standard here. Se",uncertain,McDonald v. Cooper Tire & Rubber Co.,McDonald,Cooper Tire & Rubber Co.,186,F. App'x,930,ca11,2006,,,,FALSE,,,VERIFIED,1.0,https://www.courtlistener.com/opinion/49555/robert-lee-mcdonald-sr-v-cooper-tire-rubber/,"Robert Lee McDonald, Sr. v. Cooper Tire & Rubber",e697e44,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Allapattah Servs., Inc. v. Exxon Corp, 372 F. Supp. 2d 1344 (S.D. Fla. 2005)","... where a party or attorney knowingly or recklessly raises a frivolous argument, delays or disrupts the litigation, or hampers the enforcement of a court order."" Allapattah Servs., Inc. v. Exxon Corp, 372 F. Supp. 2d 1344, 1373 (S.D. Fla. 2005) (Gold, J.) (citing Chambers v. NASCO, Inc., 501 U.S. ",uncertain,"Allapattah Services., Inc. v. Exxon Corp","Allapattah Services., Inc.",Exxon Corp,372,F. Supp. 2d,1344,flsd,2005,,,,FALSE,,,VERIFIED,1.0,https://www.courtlistener.com/opinion/2431703/allapattah-services-inc-v-exxon-corp/,"Allapattah Services, Inc. v. Exxon Corp.",e697e44,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Chambers v. NASCO, Inc., 501 U.S. 32 (U.S. 1993)","...r disrupts the litigation, or hampers the enforcement of a court order."" Allapattah Servs., Inc. v. Exxon Corp, 372 F. Supp. 2d 1344, 1373 (S.D. Fla. 2005) (Gold, J.) (citing Chambers v. NASCO, Inc., 501 U.S. 32, 46 (1991); Malautea v. Suzuki Motor Co. Ltd., 987 F.2d 1536, 1545–46 (11th Cir. 1993",uncertain,"Chambers v. NASCO, Inc.",Chambers,"NASCO, Inc.",501,U.S.,32,usjc,1993,,,,FALSE,,,VERIFIED,1.0,https://www.courtlistener.com/opinion/112616/chambers-v-nasco-inc/,"Chambers v. Nasco, Inc.",e697e44,duplicate,duplicate of prior citation,
Button_v._Mccawley_USA_4_February_2026.pdf,"Malautea v. Suzuki Motor Co. Ltd., 987 F.2d 1536 (11th Cir. 1993)","...court order."" Allapattah Servs., Inc. v. Exxon Corp, 372 F. Supp. 2d 1344, 1373 (S.D. Fla. 2005) (Gold, J.) (citing Chambers v. NASCO, Inc., 501 U.S. 32, 46 (1991); Malautea v. Suzuki Motor Co. Ltd., 987 F.2d 1536, 1545–46 (11th Cir. 1993)); see also Quantum Communs. Corp. v. Star Broad., Inc., 4",uncertain,Malautea v. Suzuki Motor Co. Ltd.,Malautea,Suzuki Motor Co. Ltd.,987,F.2d,1536,ca11,1993,,,,FALSE,,,,,,,,,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Parekh v. CBS Corp., 820 F. App'x 827 (11th Cir. 2020)","...endant's Motion for Attorneys' Fees. (For the sake of brevity, the Court highlights just a few of the countless examples from this submission.) In that response, Plaintiffs cited Parekh v. CBS Corp., 820 F. App'x 827, 836 (11th Cir. 2020) with the following quotation: ""Dismissal based on a legal ",uncertain,Parekh v. CBS Corp.,Parekh,CBS Corp.,820,F. App'x,827,ca11,2020,,,,FALSE,,,,,,,,,,
Button_v._Mccawley_USA_4_February_2026.pdf,"In re Shell Oil Refinery, 152 F.R.D. 526 (E.D. La. 1989)","... 73 at 2]. As Judge Augustin- Birch correctly pointed out, Parekh says nothing to that effect. [ECF No. 75 at 4]. Plaintiffs also attributed several quotations to cases like In re Shell Oil Refinery, 152 F.R.D. 526, 531 (E.D. La. 1989) to support their arguments. [See ECF No. 73 at 11]. But none ",uncertain,In re Shell Oil Refinery,,,152,F.R.D.,526,laed,1989,,,,FALSE,,,,,,,,,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Lopez v. Bank of Am., N.A., No. 14-cv-2524, 2016 WL 4131149 (N.D. Cal. Aug. 3, 2016)","... No. 73 at 11]. But none of the cases contain the quoted material that Plaintiffs cited. Moreover, Plaintiffs cited several cases that simply do not exist: Lopez v. Bank of Am., N.A., No. 14-cv-2524, 2016 WL 4131149 (N.D. Cal. Aug. 3, 2016); Harris v. City of Auburn, 2018 4 Case 0:24-cv-60911-DSL",uncertain,"Lopez v. Bank of Am., N.A.",Lopez,"Bank of Am., N.A.",2016,WL,4131149,cand,2016,8,3,14-cv-2524,TRUE,4131149,,POSSIBLE_MATCH,0.6522,https://www.courtlistener.com/docket/5887170/85/lopez-v-bank-of-america-na/,"Lopez v. Bank of America, N.A.",cc46446,investigate,"confirmed hallucination. 65% is too high, does not match case number or date.",
Button_v._Mccawley_USA_4_February_2026.pdf,"Avery v. Ward, 2014 WL 4748452 (S.D. Ala. Sept. 23, 2014)","...., N.A., No. 14-cv-2524, 2016 WL 4131149 (N.D. Cal. Aug. 3, 2016); Harris v. City of Auburn, 2018 4 Case 0:24-cv-60911-DSL Document 87 Entered on WL 3329858 (M.D. Ala. July 6, 2018)2; Avery v. Ward, 2014 WL 4748452, at *3 (S.D. Ala. Sept. 23, 2014); In re: Marriage of Smith, 195 Cal. App. 4th 100",uncertain,Avery v. Ward,Avery,Ward,2014,WL,4748452,alsd,2014,9,23,,TRUE,4748452,,,,,,,,,
Button_v._Mccawley_USA_4_February_2026.pdf,"In re Marriage of Smith, 195 Cal. App. 4th 1007 (2011)","...City of Auburn, 2018 4 Case 0:24-cv-60911-DSL Document 87 Entered on WL 3329858 (M.D. Ala. July 6, 2018)2; Avery v. Ward, 2014 WL 4748452, at *3 (S.D. Ala. Sept. 23, 2014); In re: Marriage of Smith, 195 Cal. App. 4th 1007, 1018 (2011). [ECF No. 73 at 8, 11]. On reply, Defendant brought this to th",uncertain,In re Marriage of Smith,,,195,Cal. App. 4th,1007,calctapp,2011,,,,FALSE,,,VERIFIED,1,https://www.courtlistener.com/opinion/5810272/areso-v-carmax-inc/,"Areso v. CarMax, Inc.",a0a9afc,approved,,
Button_v._Mccawley_USA_4_February_2026.pdf,"Button v. Doherty, No. 24 Civ. 5026, 2025 WL 2776069 (S.D.N.Y. Sept. 30, 2025)",".... 12, 2025) (""The Buttons' pro se status does not warrant use of AI to fabricate case law. Such conduct may subject the Button to monetary or others sanctions.""); Button v. Doherty, No. 24 Civ. 5026, 2025 WL 2776069, at *5 n.7 (S.D.N.Y. Sept. 30, 2025) (Cronan, J.) (""Plaintiffs object to various ",uncertain,Button v. Doherty,Button,Doherty,2025,WL,2776069,nysd,2025,9,30,24,TRUE,2776069,,LIKELY_REAL,0.9,https://www.courtlistener.com/docket/68910666/70/button-v-doherty/,Button v. Doherty,e697e44,,,
